location,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,DaysTotal_Days
Afghanistan,26310,491,42.1470625000001,38928341,54.4219999999998,18.5999999999999,2.581,1.337,1803.987,,597.028999999999,9.58999999999998,,,37.7460000000001,0.5,160
Albania,1672,37,79.9300000000001,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.10000000000001,51.1999999999999,,2.88999999999999,101
Algeria,11147,788,44.8863636363636,43851043,17.348,29.1,6.21100000000001,3.85700000000001,13913.839,0.5,278.364000000001,6.73000000000001,0.700000000000002,30.4,83.741,1.9,165
Andorra,854,52,44.3003125,77265,163.755,,,,,,109.135,7.97000000000002,29,37.8000000000001,,,96
Angola,142,6,77.4297727272726,32866268,23.89,16.8,2.405,1.362,5819.495,,276.044999999999,3.94,,,26.664,,88
Anguilla,3,0,0,15002,,,,,,,,,,,,,83
Antigua and Barbuda,26,3,0,97928,231.845,32.0999999999999,6.93299999999999,4.63099999999999,21490.943,,191.511,13.17,,,,3.80000000000001,90
Argentina,34146,878,77.1490291262135,45195777,16.177,31.9000000000001,11.198,7.441,18933.907,0.600000000000001,191.032,5.5,16.2,27.7,,5,103
Armenia,17489,293,0,2963234,102.931,35.6999999999999,11.232,7.571,8787.58000000001,1.80000000000001,341.01,7.11,1.5,52.1000000000002,94.0429999999998,4.20000000000001,161
Aruba,101,3,61.1548275862068,106766,584.800000000001,41.1999999999999,13.085,7.452,35973.781,,,11.62,,,,,87
Australia,7347,102,38.742705882353,25499881,3.202,37.8999999999999,15.5039999999999,10.129,44648.71,0.5,107.791,5.07000000000002,13,16.5,,3.84,170
Austria,17098,681,37.8765294117648,9006400,106.749,44.3999999999999,19.2020000000001,13.748,45436.6859999999,0.700000000000002,145.183000000001,6.35000000000001,28.4,30.9,,7.36999999999998,170
Azerbaijan,10662,126,48.4277300613496,10139175,119.309,32.4,6.01800000000001,3.87099999999999,15847.419,0,559.812000000001,7.11,0.299999999999999,42.5,83.241,4.70000000000001,163
Bahamas,104,11,0,393248,39.4969999999999,34.3,8.99599999999999,5.19999999999999,27717.847,,235.954,13.17,3.1,20.4,,2.9,92
Bahrain,19553,47,44.5540828402367,1701583,1935.90700000001,32.4,2.37200000000001,1.387,43290.7050000001,,151.689,16.52,5.79999999999998,37.6000000000001,,2,169
Bangladesh,94481,1262,73.8990566037737,164689383,1265.036,27.5,5.09800000000001,3.262,3523.984,14.8,298.003,8.38,1,44.6999999999999,34.808,0.799999999999998,106
Barbados,97,7,71.0545652173912,287371,664.463000000001,39.8000000000001,14.952,9.47299999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.80000000000001,92
Belarus,55369,318,7.02564705882353,9449321,46.8580000000001,40.3000000000001,14.799,9.78800000000001,17167.967,,443.129000000001,5.17999999999998,10.5,46.1000000000001,,11,170
Belgium,60155,9663,43.5724705882353,11589616,375.563999999999,41.8000000000001,18.5709999999999,12.849,42658.5760000001,0.2,114.898,4.29,25.1,31.4,,5.63999999999999,170
Belize,21,2,66.1725581395349,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.0829999999999,1.3,86
Benin,532,9,54.7878494623655,12123198,99.1099999999999,18.8,3.244,1.942,2064.236,49.6,235.848,0.989999999999999,0.600000000000001,12.3,11.035,0.5,93
Bermuda,144,9,68.0866666666667,62273,1308.82,,,,50669.315,,139.547,13,,,,,90
Bhutan,67,0,70.3334375,771612,21.188,28.5999999999999,4.88499999999999,2.977,8708.59699999999,1.5,217.066,9.75,,,79.8069999999998,1.7,96
Bolivia,19883,659,82.0689795918368,11673029,10.202,25.4,6.70399999999999,4.39299999999999,6885.82900000002,7.10000000000001,204.299,6.88999999999999,,,25.383,1.1,98
Bonaire Sint Eustatius and Saba,7,0,0,26221,,,,,,,,,,,,,77
Bosnia and Herzegovina,3040,165,76.43,3280815,68.4960000000001,42.5,16.569,10.711,11713.895,0.2,329.634999999999,10.08,30.2,47.6999999999999,97.164,3.5,97
Botswana,60,1,65.0275641025641,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.69999999999999,34.4,,1.8,78
Brazil,923189,45241,40.1753529411766,212559409,25.04,33.5,8.55199999999998,5.05999999999998,14103.452,3.39999999999999,177.961,8.10999999999998,10.1,17.9000000000001,,2.19999999999999,170
British Virgin Islands,8,1,0,30237,207.973,,,,,,,13.67,,,,,83
Brunei,141,3,49.7467676767676,437483,81.3469999999999,32.4000000000001,4.591,2.382,71809.2510000001,,201.285,12.79,2,30.9000000000001,,2.69999999999999,99
Bulgaria,3453,181,58.1212999999999,6948445,65.1800000000001,44.6999999999999,20.801,13.272,18563.307,1.5,424.688,5.81,30.0999999999999,44.4,,7.45399999999999,100
Burkina Faso,895,53,63.8701030927835,20903278,70.1509999999999,17.6,2.409,1.358,1703.102,43.6999999999999,269.048,2.41999999999999,1.6,23.9,11.877,0.399999999999999,97
Burundi,104,1,19.1939743589744,11890781,423.062000000001,17.5,2.562,1.504,702.224999999999,71.6999999999999,293.068,6.05000000000001,,,6.144,0.799999999999999,78
Cambodia,128,0,31.3385714285714,16718971,90.6720000000001,25.5999999999999,4.412,2.38499999999999,3645.07,,270.892,4,2,33.6999999999999,66.2289999999999,0.799999999999998,161
Cameroon,9864,276,56.8368041237113,26545864,50.8850000000001,18.8,3.165,1.919,3364.926,23.8,244.661,7.20000000000001,,,2.73500000000001,1.3,97
Canada,99456,8213,38.2339411764706,37742157,4.037,41.3999999999999,16.984,10.797,44017.591,0.5,105.599,7.36999999999998,12,16.5999999999999,,2.5,170
Cape Verde,781,7,70.2980898876404,555988,135.58,25.7,4.45999999999999,3.43700000000001,6222.554,,182.219,2.42,2.1,16.5,,2.1,89
Cayman Islands,193,1,0,65720,256.496,,,,49903.0290000001,,,13.22,,,,,90
Central African Republic,2410,14,59.9902127659575,4829764,7.47900000000001,18.3,3.65499999999999,2.251,661.24,77.7,435.727,6.10000000000001,,,16.603,1,94
Chad,853,74,63.1063333333333,16425859,11.833,16.7,2.486,1.446,1768.153,38.4000000000001,280.995,6.10000000000001,,,5.818,,90
Chile,184449,3383,61.3588571428571,19116209,24.282,35.4000000000001,11.087,6.93799999999999,22767.037,1.3,127.993,8.46000000000001,34.1999999999999,41.5,,2.11000000000001,105
China,84422,4644,60.4641764705882,1439323774,147.674,38.6999999999999,10.641,5.92899999999998,15308.712,0.700000000000002,261.899,9.74000000000001,1.9,48.3999999999999,,4.34,170
Colombia,54931,1801,68.9512380952381,50882884,44.223,32.1999999999999,7.64599999999999,4.31200000000001,13254.949,4.5,124.24,7.44000000000002,4.69999999999999,13.5,65.3860000000002,1.71,105
Comoros,197,3,0,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,47
Congo,883,27,74.8423404255319,5518092,15.405,19,3.40199999999999,2.063,4881.406,37,344.094,7.2,1.7,52.3000000000001,47.964,,94
Costa Rica,1769,12,63.9153921568627,5094114,96.0789999999999,33.5999999999999,9.46799999999999,5.694,15524.995,1.3,137.973,8.77999999999998,6.39999999999999,17.4,83.8410000000001,1.13,102
Cote d'Ivoire,5679,46,65.6658333333334,26378275,76.3990000000001,18.7,2.933,1.582,3601.006,28.2,303.740000000001,2.41999999999999,,,19.3510000000001,,96
Croatia,2255,107,45.6268823529413,4105268,73.7260000000001,44,19.724,13.053,22669.7969999999,0.700000000000002,253.781999999999,5.59000000000001,34.3000000000001,39.8999999999999,,5.53999999999999,170
Cuba,2273,84,71.2383157894737,11326616,110.408,43.0999999999999,14.738,9.71900000000002,,,190.968,8.26999999999999,17.1,53.3000000000001,85.1980000000001,5.19999999999999,95
Curacao,22,1,0,164100,362.644,41.6999999999999,16.367,10.068,,,,11.62,,,,,86
Cyprus,985,18,78.7112244897958,875899,127.657,37.3000000000001,13.416,8.56299999999999,32415.1320000001,0,141.171,9.24000000000001,19.6,52.6999999999999,,3.4,98
Czech Republic,10111,331,37.0536470588236,10708982,137.176,43.3000000000001,19.027,11.58,32605.9060000001,0,227.485,6.82000000000001,30.5,38.3000000000001,,6.63000000000001,170
Democratic Republic of Congo,4974,112,68.0730927835053,89561404,35.8789999999999,17,3.02,1.745,808.133000000001,77.1000000000001,318.949,6.10000000000001,,,4.47199999999999,,97
Denmark,12250,598,37.8807058823529,5792203,136.52,42.3000000000001,19.677,12.325,46682.5149999999,0.2,114.767,6.41,19.3,18.8,,2.5,170
Djibouti,4539,43,70.298021978022,988002,41.2849999999999,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,91
Dominica,18,0,67.1686206896551,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.80000000000001,87
Dominican Republic,23686,615,47.9341614906833,10847904,222.873,27.6,6.981,4.41899999999999,14600.861,1.6,266.652999999999,8.20000000000002,8.5,19.0999999999999,55.1819999999999,1.6,161
Ecuador,47943,3970,47.8966666666666,17643060,66.9390000000002,28.1,7.10400000000002,4.458,10581.936,3.60000000000001,140.448,5.54999999999998,2,12.3,80.6350000000002,1.5,165
Egypt,47856,1766,41.5165060240965,102334403,97.9989999999998,25.3000000000001,5.15899999999999,2.89100000000001,10550.206,1.3,525.432000000001,17.31,0.2,50.1000000000002,89.8269999999998,1.6,166
El Salvador,3941,78,87.8913186813187,6486201,307.811,27.6,8.27300000000001,5.41699999999999,7292.45799999999,2.2,167.295,8.87,2.5,18.8,90.6499999999999,1.3,91
Equatorial Guinea,1306,12,0,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.77999999999998,,,24.64,2.1,95
Eritrea,121,0,83.5134090909093,3546427,44.3040000000001,19.3,3.607,2.171,1510.459,,311.11,6.05000000000001,0.2,11.4,,0.700000000000001,88
Estonia,1975,69,33.2027647058824,1326539,31.033,42.6999999999999,19.4520000000001,13.491,29481.252,0.5,255.569000000001,4.01999999999999,24.5,39.3000000000001,,4.69000000000002,170
Ethiopia,3630,61,63.5642708333334,114963583,104.957,19.8,3.52600000000001,2.063,1729.927,26.7,182.634,7.47000000000002,0.399999999999999,8.5,7.96000000000001,0.3,96
Faeroe Islands,187,0,0,48865,35.308,,,,,,,,,,,,90
Falkland Islands,13,0,0,3483,,,,,,,,,,,,,75
Fiji,18,0,76.3163333333333,896444,49.5619999999999,28.6,6.224,3.284,8702.97499999999,1.4,412.82,14.49,10.2,34.8,,2.3,90
Finland,7112,326,33.8198823529412,5540718,18.136,42.8000000000001,21.228,13.264,40585.7209999999,,153.507,5.75999999999999,18.3,22.5999999999999,,3.27999999999999,170
France,157716,29547,48.6761176470588,65273512,122.578,42,19.718,13.079,38605.6710000001,0,86.0599999999999,4.76999999999999,30.1,35.6000000000001,,5.98000000000001,170
French Polynesia,60,0,0,280904,77.3239999999999,32.7,7.77499999999999,4.593,,,,22.6300000000001,,,,,91
Gabon,4114,29,68.9001041666666,2225728,7.85900000000001,23.1,4.44999999999999,2.976,16562.413,3.4,259.967,7.20000000000001,,,,6.3,96
Gambia,34,1,68.3759782608694,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.700000000000001,31.2,7.87599999999999,1.1,92
Georgia,888,14,55.7664670658682,3989175,65.0319999999999,38.6999999999999,14.864,10.244,9745.07899999998,4.20000000000001,496.217999999999,7.11,5.29999999999999,55.5,,2.60000000000001,167
Germany,187184,8830,38.2633529411765,83783945,237.016,46.6000000000001,21.453,15.957,45229.2450000001,0,156.139,8.30999999999997,28.1999999999999,33.1,,8,170
Ghana,12193,58,61.3818749999999,31072945,126.719,21.1,3.38499999999999,1.948,4227.63,12,298.245,4.97000000000001,0.3,7.70000000000001,41.047,0.900000000000001,96
Gibraltar,176,0,0,33691,3457.1,,,,,,,,,,,,90
Greece,3148,185,41.0349411764707,10423056,83.4789999999998,45.3000000000001,20.3960000000001,14.5239999999999,24574.3820000001,1.5,175.695,4.54999999999999,35.3000000000001,52,,4.21,170
Greenland,13,0,64.66,56772,0.137,,,,,,199.941,2.16,,,,,90
Grenada,23,0,0,112519,317.132,29.4,7.30399999999999,5.021,13593.877,,243.964,10.71,,,,3.69999999999999,87
Guam,188,5,60.621868131868,168783,304.128,31.4,9.55100000000001,5.493,,,310.495999999999,21.52,,,,,91
Guatemala,10706,418,84.6709473684212,17915567,157.834,22.9,4.694,3.016,7423.808,8.70000000000001,155.898,10.18,,,76.665,0.600000000000001,95
Guernsey,252,13,0,67052,,,,,,,,,,,,,90
Guinea,4639,26,70.1530526315788,13132792,51.7550000000001,19,3.135,1.733,1998.926,35.3000000000001,336.717,2.42,,,17.45,0.3,95
Guinea-Bissau,1492,15,0,1967998,66.1909999999999,19.4,3.002,1.565,1548.675,67.1000000000001,382.473999999999,2.42,,,6.40300000000001,,83
Guyana,171,12,78.2461052631578,786559,3.952,26.3,5.30500000000001,2.837,7435.04700000001,6.5,373.159,11.62,,,77.1589999999999,1.6,95
Haiti,4547,80,67.2935555555555,11402533,398.448,24.3,4.80000000000001,2.954,1653.173,23.5,430.548,6.64999999999999,2.9,23.1,22.863,0.700000000000001,90
Honduras,9656,330,87.6639583333333,9904608,82.8050000000001,24.9,4.65199999999999,2.883,4541.795,16,240.208,7.21,2,,84.1689999999999,0.700000000000001,96
Hong Kong,0,0,54.3007142857143,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,14
Hungary,4078,567,56.9074528301887,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.295999999999,7.54999999999999,26.8,34.8000000000001,,7.01999999999999,106
Iceland,1812,10,29.1335882352941,341250,3.404,37.3000000000001,14.431,9.20700000000003,46482.9579999999,0.2,117.992,5.30999999999998,14.3,15.2,,2.91000000000001,170
India,354065,11903,52.25,1380004385,450.419,28.1999999999999,5.98900000000001,3.41399999999999,6426.674,21.1999999999999,282.279999999999,10.39,1.9,20.5999999999999,59.55,0.530000000000001,169
Indonesia,40400,2231,43.1042331288344,273523621,145.725,29.3000000000001,5.31899999999999,3.053,11188.744,5.70000000000002,342.864000000001,6.32000000000002,2.80000000000001,76.1000000000002,64.2039999999999,1.04,163
Iran,192439,9065,33.6058235294117,83992953,49.8310000000001,32.3999999999999,5.44000000000002,3.18200000000001,19082.6200000001,0.2,270.308,9.58999999999998,0.799999999999999,21.0999999999999,,1.5,170
Iraq,22700,712,57.0390476190476,40222503,88.125,20,3.18599999999999,1.957,15663.986,2.5,218.612,8.82999999999999,,,94.5759999999996,1.4,168
Ireland,25334,1709,46.8225443786982,4937796,69.8739999999998,38.6999999999999,13.928,8.67800000000003,67335.2929999998,0.2,126.459,3.27999999999999,23,25.6999999999999,,2.95999999999999,169
Isle of Man,336,24,0,85032,147.872,,,,,,,,,,,,89
Israel,19637,303,45.3752352941176,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.3199999999998,6.74000000000001,15.4,35.3999999999999,,2.99000000000001,170
Italy,237500,34405,52.718705882353,60461828,205.859,47.8999999999999,23.0210000000001,16.2399999999999,35220.0839999999,2,113.151,4.77999999999998,19.8000000000001,27.8000000000001,,3.18,170
Jamaica,621,10,77.4349484536082,2961161,266.879000000001,31.4,9.68399999999999,6.38999999999999,8193.571,1.8,206.537,11.28,5.30000000000001,28.5999999999999,66.4250000000001,1.7,97
Japan,17628,931,29.5202352941176,126476458,347.777999999999,48.1999999999999,27.049,18.493,39002.2230000001,0.2,79.3700000000003,5.72000000000002,11.2,33.6999999999999,,13.05,170
Jersey,316,30,0,101073,,,,,,,,,,,,,90
Jordan,981,9,76.1457731958762,10203140,109.285,23.2,3.81,2.361,8337.48999999999,0.1,208.257,11.75,,,,1.4,97
Kazakhstan,15542,88,79.8808247422681,18776707,6.681,30.5999999999999,6.99099999999999,4.625,24055.588,0.1,466.792000000001,7.11000000000001,7,43.0999999999999,98.9989999999998,6.7,97
Kenya,3860,105,76.7469230769233,53771300,87.3239999999999,20,2.686,1.528,2993.028,36.8000000000001,218.637,2.92,1.2,20.4,24.651,1.4,104
